Fdt_Id,Fdt_Sta_Id,Fdt_Date_Time,Fdt_Depth,Fdt_Salinity,Fdt_Temp_Celcius,Fdt_Do_Optical
2966267,7ACHE055.97,8/12/2020 13:00,15,18.38,28.91,5.1
2965675,7ACHE040.39,8/11/2020 13:30,0.1,16.66,29.35,8
2965678,7ACHE040.39,8/11/2020 13:30,0.5,16.65,29.32,8
2965679,7ACHE040.39,8/11/2020 13:30,1,16.66,29.33,8
2965683,7ACHE040.39,8/11/2020 13:30,2,16.66,29.3,8
2965686,7ACHE040.39,8/11/2020 13:30,3,16.66,29.2,7.91
2965689,7ACHE040.39,8/11/2020 13:30,4,16.65,29.2,7.91
2965691,7ACHE040.39,8/11/2020 13:30,5,16.73,28.8,7.19
2965693,7ACHE040.39,8/11/2020 13:30,6,18.59,28.44,1.72
2965696,7ACHE040.39,8/11/2020 13:30,7,18.7,28.43,1.11
2965697,7ACHE040.39,8/11/2020 13:30,8,18.73,28.4,0.89
2965698,7ACHE040.39,8/11/2020 13:30,9,18.76,28.4,0.76
2965699,7ACHE040.39,8/11/2020 13:30,9.5,18.83,29.39,0.63
2966239,7ACHE055.60,8/12/2020 10:45,27,20.39,28.27,1.3
2967295,7ACHE040.04,8/18/2020 12:00,0.1,19.16,27.49,8.09
2967298,7ACHE040.04,8/18/2020 12:00,0.5,19.16,27.46,8.11
2967299,7ACHE040.04,8/18/2020 12:00,1,19.15,27.3,8.12
2967303,7ACHE040.04,8/18/2020 12:00,2,19.17,27.2,8.01
2967306,7ACHE040.04,8/18/2020 12:00,3,19.21,27.14,7.83
2967309,7ACHE040.04,8/18/2020 12:00,4,19.39,27.08,7.4
2967311,7ACHE040.04,8/18/2020 12:00,5,19.81,26.94,6.64
2967313,7ACHE040.04,8/18/2020 12:00,6,21.35,26.54,5.67
2967316,7ACHE040.04,8/18/2020 12:00,7,24.08,25.95,4.88
2967317,7ACHE040.04,8/18/2020 12:00,8,24.53,25.75,4.65
2967318,7ACHE040.04,8/18/2020 12:00,9,25.17,25.58,4.33
2967319,7ACHE040.04,8/18/2020 12:00,10,25.25,25.57,4.27
2967321,7ACHE040.04,8/18/2020 12:00,11.5,25.27,25.57,4.21
2964715,7ACHE013.48,8/10/2020 10:00,0.1,20.07,28.58,7.38
2964719,7ACHE013.48,8/10/2020 10:00,1,20.19,28.41,7.4
2964723,7ACHE013.48,8/10/2020 10:00,2,20.8,28.18,6.88
2964726,7ACHE013.48,8/10/2020 10:00,3,21.33,28.2,6.82
2964729,7ACHE013.48,8/10/2020 10:00,4,22.6,27.55,5.4
2964731,7ACHE013.48,8/10/2020 10:00,5,24.14,27.08,7.18
2964733,7ACHE013.48,8/10/2020 10:00,6,25.07,26.51,7.19
2964718,7ACHE013.48,8/10/2020 10:00,0.5,20.13,28.49,7.43
2965708,7ACHE047.42,8/11/2020 14:45,1,16.91,23.39,7.87
2965712,7ACHE047.42,8/11/2020 14:45,2,16.91,29.35,7.87
2965704,7ACHE047.42,8/11/2020 14:45,0.1,16.91,29.44,7.77
2965707,7ACHE047.42,8/11/2020 14:45,0.5,16.91,29.42,7.88
2965715,7ACHE047.42,8/11/2020 14:45,3,16.91,29.34,7.89
2965718,7ACHE047.42,8/11/2020 14:45,4,16.91,29.21,7.71
2965720,7ACHE047.42,8/11/2020 14:45,5,16.91,29.15,7.57
2965722,7ACHE047.42,8/11/2020 14:45,6,17.05,28.8,6.04
2965725,7ACHE047.42,8/11/2020 14:45,7,17.6,28.56,3.68
2966236,7ACHE055.60,8/12/2020 10:45,15,19.26,28.38,1.41
2966238,7ACHE055.60,8/12/2020 10:45,25,20.33,28.28,1.13
2964759,7ACHE004.29,8/10/2020 8:00,1,22.49,27.97,7.44
2964763,7ACHE004.29,8/10/2020 8:00,2,22.49,22.97,7.32
2964766,7ACHE004.29,8/10/2020 8:00,3,22.5,27.95,7.25
2964769,7ACHE004.29,8/10/2020 8:00,4,22.49,27.9,6.66
2964771,7ACHE004.29,8/10/2020 8:00,5,23.5,26.7,5.09
2964755,7ACHE004.29,8/10/2020 8:00,0.1,22.49,28,7.52
2964758,7ACHE004.29,8/10/2020 8:00,0.5,22.49,27.98,7.5
2964773,7ACHE004.29,8/10/2020 8:00,6,25.75,25.4,3.83
2964993,7ACHE013.48,8/10/2020 10:00,7,24.78,28.89,7.32
2966246,7ACHE055.97,8/12/2020 13:00,1,17.66,29.57,8.24
2966250,7ACHE055.97,8/12/2020 13:00,2,17.75,29.06,7.74
2966242,7ACHE055.97,8/12/2020 13:00,0.1,17.63,29.89,8.05
2966245,7ACHE055.97,8/12/2020 13:00,0.5,17.63,29.84,8.13
2966256,7ACHE055.97,8/12/2020 13:00,4,17.79,28.98,6.55
2966258,7ACHE055.97,8/12/2020 13:00,5,17.78,29.94,6.11
2966260,7ACHE055.97,8/12/2020 13:00,6,17.78,28.94,5.85
2966263,7ACHE055.97,8/12/2020 13:00,7,17.8,28.9,5.47
2966264,7ACHE055.97,8/12/2020 13:00,8,17.83,28.92,5.67
2966265,7ACHE055.97,8/12/2020 13:00,9,17.85,28.94,5.71
2966266,7ACHE055.97,8/12/2020 13:00,10,17.87,28.93,5.6
2966253,7ACHE055.97,8/12/2020 13:00,3,17.78,29.03,7.1
2966269,7ACHE055.97,8/12/2020 13:00,20,18.57,28.96,5.37
2964994,7ACHE004.29,8/10/2020 8:00,7,26.27,24.8,3.3
2965273,7ACHE023.47,8/11/2020 8:30,11,21.96,28.29,3.62
2967320,7ACHE040.04,8/18/2020 12:00,11,25.27,25.57,4.23
2966237,7ACHE055.60,8/12/2020 10:45,20,19.71,28.34,1.38
2965639,7ACHE044.14,8/11/2020 15:30,1,16.62,26.69,10
2965643,7ACHE044.14,8/11/2020 15:30,2,16.63,29.58,9.77
2965646,7ACHE044.14,8/11/2020 15:30,3,16.63,29.56,9.7
2965635,7ACHE044.14,8/11/2020 15:30,0.1,16.61,29.65,9.59
2965638,7ACHE044.14,8/11/2020 15:30,0.5,16.61,25.69,9.91
2965649,7ACHE044.14,8/11/2020 15:30,4,16.8,29,7.5
2965651,7ACHE044.14,8/11/2020 15:30,5,16.92,29.25,7.17
2965653,7ACHE044.14,8/11/2020 15:30,6,17.34,28.88,6.44
2965656,7ACHE044.14,8/11/2020 15:30,7,17.87,28.63,3.7
2965657,7ACHE044.14,8/11/2020 15:30,8,17.9,28.59,2.75
2965239,7ACHE023.47,8/11/2020 8:30,1,20.09,28.78,7.45
2965243,7ACHE023.47,8/11/2020 8:30,2,20.24,28.4,7.03
2965235,7ACHE023.47,8/11/2020 8:30,0.1,20.09,28.73,7.64
2965238,7ACHE023.47,8/11/2020 8:30,0.5,20.08,28.73,7.64
2965246,7ACHE023.47,8/11/2020 8:30,3,20.34,28.88,6.81
2965249,7ACHE023.47,8/11/2020 8:30,4,20.38,28.88,7.01
2965251,7ACHE023.47,8/11/2020 8:30,5,20.63,28.94,7.11
2965253,7ACHE023.47,8/11/2020 8:30,6,20.94,28.83,5.34
2965256,7ACHE023.47,8/11/2020 8:30,7,21.23,28.65,5.34
2965257,7ACHE023.47,8/11/2020 8:30,8,21.49,28.52,4.5
2965258,7ACHE023.47,8/11/2020 8:30,9,21.59,28.46,4.18
2965259,7ACHE023.47,8/11/2020 8:30,10,21.75,28.39,3.7
2966215,7ACHE055.60,8/12/2020 10:45,1,16.49,29.14,7.15
2966219,7ACHE055.60,8/12/2020 10:45,2,16.49,28.91,7.02
2966222,7ACHE055.60,8/12/2020 10:45,3,16.5,28.86,6.9
2966211,7ACHE055.60,8/12/2020 10:45,0.1,16.48,29.16,7.12
2966214,7ACHE055.60,8/12/2020 10:45,0.5,16.48,29.24,7.14
2966225,7ACHE055.60,8/12/2020 10:45,4,16.55,28.83,6.33
2966227,7ACHE055.60,8/12/2020 10:45,5,17.48,28.86,5.7
2966229,7ACHE055.60,8/12/2020 10:45,6,18.09,28.89,5
2966232,7ACHE055.60,8/12/2020 10:45,7,18.43,28.66,3.75
2966233,7ACHE055.60,8/12/2020 10:45,8,18.55,28.58,2.98
2966234,7ACHE055.60,8/12/2020 10:45,9,18.73,28.54,2.45
2966235,7ACHE055.60,8/12/2020 10:45,10,19.02,28.42,1.45
2967255,7ACHE026.06,8/18/2020 9:00,0.1,17.51,27.11,6.75
2967259,7ACHE026.06,8/18/2020 9:00,1,17.52,27.1,6.72
2967263,7ACHE026.06,8/18/2020 9:00,2,17.6,27.08,6.72
2967266,7ACHE026.06,8/18/2020 9:00,3,17.76,27.04,6.75
2967269,7ACHE026.06,8/18/2020 9:00,4,18.01,27,6.87
2967271,7ACHE026.06,8/18/2020 9:00,5,18.53,27.19,7.22
2967273,7ACHE026.06,8/18/2020 9:00,6,18.56,27.12,7.1
2967276,7ACHE026.06,8/18/2020 9:00,7,23.05,26,5.56
2967277,7ACHE026.06,8/18/2020 9:00,8,23.77,25.73,4.74
2967258,7ACHE026.06,8/18/2020 9:00,0.5,17.51,27.12,6.74
