Styles,Yeast,ABV_Min,ABV_Max,IBU_Min,IBU_Max,SRM_Min,SRM_Max,OG_Min,OG_Max,FG_Min,FG_Max
American Light Lager,Lager,2.8,4.2,8,12,2,3,1.028,1.04,0.998,1.008
American Lager,Lager,4.2,5.3,8,18,2,4,1.04,1.05,1.004,1.01
Cream Ale,Ale,4.2,5.6,8,20,2.5,5,1.042,1.055,1.006,1.012
American Wheat Beer,Either,4,5.5,15,30,3,6,1.04,1.055,1.008,1.013
International Pale Lager,Either,4.6,6,18,25,2,6,1.042,1.05,1.008,1.012
International Amber Lager,Lager,4.6,6,8,25,7,14,1.042,1.055,1.008,1.014
International Dark Lager,Lager,4.2,6,8,20,14,22,1.044,1.056,1.008,1.012
Czech Pale Lager,Lager,3,4.1,20,35,3,6,1.028,1.044,1.008,1.014
Czech Premium Pale Lager,Lager,4.2,5.8,30,45,3.5,6,1.044,1.06,1.013,1.017
Czech Amber Lager,Lager,4.4,5.8,20,35,10,16,1.044,1.06,1.013,1.017
Czech Dark Lager,Lager,4.4,5.8,18,34,14,35,1.044,1.06,1.013,1.017
Munich Helles,Lager,4.7,5.4,16,22,3,5,1.044,1.048,1.006,1.012
Festbier,Lager,5.8,6.3,18,25,4,7,1.054,1.057,1.01,1.012
Helles Bock,Lager,6.3,7.4,23,35,6,11,1.064,1.072,1.011,1.018
German Leichtbier,Lager,2.4,3.6,15,28,2,5,1.026,1.034,1.006,1.01
Kolsch,Lager,4.4,5.2,18,30,3.5,5,1.044,1.05,1.007,1.011
German Helles Exportbier,Ale,4.8,6,20,30,4,7,1.048,1.056,1.01,1.015
German Pils,Lager,4.4,5.2,22,40,2,5,1.044,1.05,1.008,1.013
Marzen,Lager,5.8,6.3,18,24,8,17,1.054,1.06,1.01,1.014
Rauchbier,Lager,4.8,6,20,30,12,22,1.05,1.057,1.012,1.016
Dunkles Bock,Lager,6.3,7.2,20,27,14,22,1.064,1.072,1.013,1.019
Vienna Lager,Lager,4.7,5.5,18,30,9,15,1.048,1.055,1.01,1.014
Altbier,Lager,4.3,5.5,25,50,11,17,1.044,1.052,1.008,1.014
Pale Kellerbier,Lager,4.7,5.4,20,35,3,7,1.045,1.051,1.008,1.012
Amber Kellerbier,Lager,4.8,5.4,25,40,7,17,1.048,1.054,1.012,1.016
Munich Dunkel,Lager,4.5,5.6,18,28,14,28,1.048,1.056,1.01,1.016
Schwarzbier,Lager,4.4,5.4,20,30,17,30,1.046,1.052,1.01,1.016
Doppelbock,Lager,7,10,16,26,6,25,1.072,1.112,1.016,1.024
Eisbock,Lager,9,14,25,35,18,30,1.078,1.12,1.02,1.035
Baltic Porter,Lager,6.5,9.5,20,40,17,30,1.06,1.09,1.016,1.024
Weissbier,Either,4.3,5.6,8,15,2,6,1.044,1.052,1.01,1.014
Dunkles Weissbier,Ale,4.3,5.6,10,18,14,23,1.044,1.056,1.01,1.014
Weizenbock,Ale,6.5,9,15,30,6,25,1.064,1.09,1.015,1.022
Ordinary Bitter,Ale,3.2,3.8,25,35,8,14,1.03,1.039,1.007,1.011
Best Bitter,Ale,3.8,4.6,25,40,8,16,1.04,1.048,1.008,1.012
Strong Bitter,Ale,4.6,6.2,30,50,8,18,1.048,1.06,1.01,1.016
British Golden Ale,Ale,3.8,5,20,45,2,6,1.038,1.053,1.006,1.012
Australian Sparkling Ale,Ale,4.5,6,20,35,4,7,1.038,1.05,1.004,1.006
English IPA,Ale,5,7.5,40,60,6,14,1.05,1.075,1.01,1.018
Dark Mild,Ale,3,3.8,10,25,12,25,1.03,1.038,1.008,1.013
British Brown Ale,Ale,4.2,5.4,20,30,12,22,1.04,1.052,1.008,1.013
English Porter,Ale,4,5.4,18,35,20,30,1.04,1.052,1.008,1.014
Scottish Light,Ale,2.5,3.2,10,20,17,22,1.03,1.035,1.01,1.013
Scottish Heavy,Ale,3.2,3.9,10,20,13,22,1.035,1.04,1.01,1.015
Scottish Export,Ale,3.9,6,15,30,13,22,1.04,1.06,1.01,1.016
Irish Red Ale,Ale,3.8,5,18,28,9,14,1.036,1.046,1.01,1.014
Irish Stout,Ale,4,4.5,25,45,25,40,1.036,1.044,1.007,1.011
Irish Extra Stout,Ale,5.5,6.5,35,50,25,40,1.052,1.062,1.01,1.014
Sweet Stout,Ale,4,6,20,40,30,40,1.044,1.06,1.012,1.024
Oatmeal Stout,Ale,4.2,5.9,25,40,22,40,1.045,1.065,1.01,1.018
Tropical Stout,Ale,5.5,8,30,50,30,40,1.056,1.075,1.01,1.018
Foreign Extra Stout,Ale,6.3,8,50,70,30,40,1.056,1.075,1.01,1.018
British Strong Ale,Ale,5.5,8,30,60,8,22,1.055,1.08,1.015,1.022
Old Ale,Ale,5.5,9,30,60,10,22,1.055,1.088,1.015,1.022
Wee Heavy,Ale,6.5,10,17,35,14,25,1.07,1.13,1.018,1.04
English Barleywine,Ale,8,12,35,70,8,22,1.08,1.12,1.018,1.03
Blonde Ale,Ale,3.8,5.5,15,28,3,6,1.038,1.054,1.008,1.013
American Pale Ale,Either,4.5,6.2,30,50,5,10,1.045,1.06,1.01,1.015
American Amber Ale,Ale,4.5,6.2,25,40,10,17,1.045,1.06,1.01,1.015
California Common ,Ale,4.5,5.5,30,45,10,14,1.048,1.054,1.011,1.014
American Brown Ale,Lager,4.3,6.2,20,30,18,35,1.045,1.06,1.01,1.016
American Porter,Ale,4.8,6.5,25,50,22,40,1.05,1.07,1.012,1.018
American Stout,Ale,5,7,35,75,30,40,1.05,1.075,1.01,1.022
Imperial Stout,Ale,8,12,50,90,30,40,1.075,1.115,1.018,1.03
American IPA,Ale,5.5,7.5,40,70,6,14,1.056,1.07,1.008,1.014
Specialty IPA - Belgian IPA,Ale,6.2,9.5,50,100,5,15,1.058,1.08,1.008,1.016
Specialty IPA - Black IPA,Ale,5.5,9,50,90,25,40,1.05,1.085,1.01,1.018
Specialty IPA - Brown IPA,Ale,5.5,7.5,40,70,11,19,1.056,1.07,1.008,1.016
Specialty IPA - Red IPA,Ale,5.5,7.5,40,70,11,19,1.056,1.07,1.008,1.016
Specialty IPA - Rye IPA,Ale,5.5,8,50,75,6,14,1.056,1.075,1.008,1.014
Specialty IPA - White IPA,Ale,5.5,7,40,70,5,8,1.056,1.065,1.01,1.016
Double IPA,Ale,7.5,10,60,120,6,14,1.065,1.085,1.008,1.018
American Strong Ale,Ale,6.3,10,50,100,7,19,1.062,1.09,1.014,1.024
American Barleywine,Ale,8,12,50,100,10,19,1.08,1.12,1.016,1.03
Wheatwine,Ale,8,12,30,60,8,15,1.08,1.12,1.016,1.03
Berliner Weisse,Ale,2.8,3.8,3,8,2,3,1.028,1.032,1.003,1.006
Flanders Red Ale,Ale,4.6,6.5,10,25,10,16,1.048,1.057,1.002,1.012
Oud Bruin,Ale,4,8,20,25,15,22,1.04,1.074,1.008,1.012
Lambic,Ale,5,6.5,0,10,3,7,1.04,1.054,1.001,1.01
Gueuze ,Ale,5,8,0,10,3,7,1.04,1.06,1,1.006
Fruit Lambic,Ale,5,7,0,10,3,7,1.04,1.06,1,1.01
Witbier,Ale,4.5,5.5,8,20,2,4,1.044,1.052,1.008,1.012
Belgian Pale Ale,Ale,4.8,5.5,20,30,8,14,1.048,1.054,1.01,1.014
Bi?re de Garde,Ale,6,8.5,18,28,6,19,1.06,1.08,1.008,1.016
Belgian Blond Ale,Ale,6,7.5,15,30,4,7,1.062,1.075,1.008,1.018
Saison,Ale,3.5,9.5,20,35,5,22,1.048,1.065,1.002,1.008
Belgian Golden Strong Ale,Ale,7.5,10.5,22,35,3,6,1.07,1.095,1.005,1.016
Trappist Single,Ale,4.8,6,25,45,3,5,1.044,1.054,1.004,1.01
Belgian Dubbel,Ale,6,7.6,15,25,10,17,1.062,1.075,1.008,1.018
Belgian Tripel,Ale,7.5,9.5,20,40,4.5,7,1.075,1.085,1.008,1.014
Belgian Dark Strong Ale,Ale,8,12,20,35,12,22,1.075,1.11,1.01,1.024
Gose,Ale,4.2,4.8,5,12,3,4,1.036,1.056,1.006,1.01
Kentucky Common,Ale,4,5.5,15,30,11,20,1.044,1.055,1.01,1.018
Lichtenhainer,Ale,3.5,4.7,5,12,3,6,1.032,1.04,1.004,1.008
London Brown Ale,Ale,2.8,3.6,15,20,22,35,1.033,1.038,1.012,1.015
Piwo Grodziskie,Ale,2.5,3.3,20,35,3,6,1.028,1.032,1.006,1.012
Pre-Prohibition Lager,Ale,4.5,6,25,40,3,6,1.044,1.06,1.01,1.015
Pre-Prohibition Porter,Ale,4.5,6,20,30,18,30,1.046,1.06,1.01,1.016
Roggenbier,Ale,4.5,6,10,20,14,19,1.046,1.056,1.01,1.014
Sahti,Ale,7,11,7,15,4,22,1.076,1.12,1.016,1.02
